Facility_ID,State,Facility_Type,Ownership,Year_Established,Number_of_Staff,Number_of_Patients_Annually,Primary_Issue_Treated,Service_Provided,Satisfaction_Rating,Average_Cost_Per_Visit_USD,Contact_Email,Phone_Number,Zip_Code,Accredited,Emergency_Services,Website,Insurance_Accepted,Rating_Category,Has_Parking,Open_24_Hours,Languages_Supported,State_Code,Facility_Code,Admin_Name,Yearly_Budget_USD
417,Michigan,Telehealth Provider,Non-Profit,1993,322.0,4082,Depression,Inpatient,4.47,105.31,contact@clinic.net,,10001,Yes,YES,http://healthcare.gov,None,High,No,No,English,MI,FC-00417,Jane Smith,15013148.145911822
418,Michigan,Psychiatric Hospital,Non-Profit,2013,49.0,5655,Bipolar Disorder,Emergency,2.66,328.81,,987-654-3210,,No,YES,www.mhc.org,Private,Medium,Yes,No,Hindi,MI,FC-00418,,996719.5080847373
419,Illinois,Private Clinic,Non-Profit,1978,246.0,8054,PTSD,Emergency,3.79,353.99,,987-654-3210,90210,,YES,www.mhc.org,Medicare,High,,24/7,"English, Spanish",IL,FC-00419,,3470797.997078624
420,Pennsylvania,Psychiatric Hospital,Private,1977,452.0,4813,PTSD,Emergency,2.07,399.8,support@health.com,,60601,Y,,www.mhc.org,Medicaid,Medium,False,Yes,"English, Spanish",PE,FC-00420,Dr. Lee,12459008.40911797
421,Florida,Community Health Center,Private,1960,395.0,3192,Depression,Telehealth,5.0,300.51,support@health.com,555 123 4567,60601,No,Yes,http://healthcare.gov,Private,High,No,No,"English, Spanish",FL,FC-00421,Dr. Lee,13665692.430173738
422,California,Rehabilitation Center,Non-Profit,2014,103.0,4259,OCD,Inpatient,1.7,340.59,,,90210,Yes,No,,Private,Low,Yes,N/A,Spanish,CA,FC-00422,John Doe,1981678.277583803
423,Illinois,Community Health Center,Public,1968,231.0,6408,Anxiety,Telehealth,1.04,56.08,contact@clinic.net,,90210,N,no,http://healthcare.gov,Medicaid,Low,Yes,,Spanish,IL,FC-00423,Jane Smith,7445557.268173312
424,Pennsylvania,Psychiatric Hospital,Private,1958,213.0,7578,Bipolar Disorder,Counseling,1.6,122.98,info@mhc.org,987-654-3210,90210,,No,http://healthcare.gov,Medicaid,Low,No,,Mandarin,PE,FC-00424,John Doe,9013251.40108198
425,Michigan,Psychiatric Hospital,Public,1976,147.0,8576,Schizophrenia,Telehealth,4.1,493.21,contact@clinic.net,555 123 4567,33101,Y,no,www.mhc.org,Medicaid,High,False,No,English,MI,FC-00425,Dr. Lee,2981659.59892589
426,Michigan,Telehealth Provider,Public,1983,309.0,5033,Depression,Counseling,2.79,84.2,contact@clinic.net,(123) 456-7890,,Yes,YES,http://healthcare.gov,Medicare,Medium,Yes,24/7,Mandarin,MI,FC-00426,,10262782.959499551
427,Ohio,Private Clinic,Private,1993,404.0,5026,Bipolar Disorder,Outpatient,2.79,355.45,support@health.com,,,No,Yes,www.mhc.org,Medicare,Medium,,,Spanish,OH,FC-00427,Dr. Lee,9523291.554480178
428,Illinois,Private Clinic,Private,2017,216.0,9479,Bipolar Disorder,Outpatient,4.82,129.24,support@health.com,,60601,,Yes,,Medicare,High,True,,,IL,FC-00428,Prof. Adams,6737199.559463349
429,Florida,Community Health Center,Public,1964,345.0,4069,OCD,Counseling,4.68,372.52,support@health.com,555 123 4567,60601,Yes,no,https://clinic.com,,High,,,Mandarin,FL,FC-00429,,12653482.47013458
430,Texas,Rehabilitation Center,Public,2000,90.0,3065,Schizophrenia,Counseling,2.24,367.7,,,60601,Yes,,www.mhc.org,Private,Medium,Yes,,Hindi,TE,FC-00430,John Doe,2161521.2585379328
431,Florida,Private Clinic,Non-Profit,1962,227.0,4419,Bipolar Disorder,Telehealth,1.84,155.39,,555 123 4567,10001,Y,YES,mhc.net,Medicare,Low,True,No,Spanish,FL,FC-00431,,11299904.572665377
432,Michigan,Telehealth Provider,Non-Profit,1998,,9075,OCD,Counseling,4.39,171.34,contact@clinic.net,(123) 456-7890,60601,N,Yes,https://clinic.com,,High,No,Yes,Spanish,MI,FC-00432,Prof. Adams,
433,Michigan,Community Health Center,Private,2019,187.0,7208,Anxiety,Inpatient,4.62,344.65,contact@clinic.net,555 123 4567,90210,N,Yes,,Private,High,True,Yes,,MI,FC-00433,Dr. Lee,8036972.462015181
434,New York,Community Health Center,Non-Profit,2005,,9241,OCD,Outpatient,3.17,225.54,info@mhc.org,(123) 456-7890,60601,N,yes,https://clinic.com,Medicare,Medium,True,24/7,,NE,FC-00434,Jane Smith,
435,Michigan,Telehealth Provider,Non-Profit,2000,380.0,4039,Anxiety,Outpatient,3.52,137.55,contact@clinic.net,555 123 4567,90210,No,Yes,www.mhc.org,Medicaid,High,True,N/A,,MI,FC-00435,Jane Smith,16762640.768284803
436,California,Rehabilitation Center,Non-Profit,1986,355.0,144,Anxiety,Counseling,2.03,379.26,contact@clinic.net,,33101,Yes,yes,,None,Medium,Yes,Yes,English,CA,FC-00436,Jane Smith,6017973.554447665
437,Georgia,Telehealth Provider,Non-Profit,1966,288.0,1910,Bipolar Disorder,Emergency,4.2,119.37,support@health.com,(123) 456-7890,10001,No,Yes,mhc.net,Medicare,High,False,N/A,Hindi,GE,FC-00437,Dr. Lee,5443818.73606277
438,Illinois,Rehabilitation Center,Public,2007,155.0,4666,OCD,Emergency,3.53,435.04,support@health.com,,10001,Yes,Yes,www.mhc.org,None,High,Yes,Yes,Spanish,IL,FC-00438,Jane Smith,4571949.302919799
439,Florida,Telehealth Provider,Private,1978,327.0,9121,Anxiety,Counseling,3.01,281.6,support@health.com,(123) 456-7890,,Y,,www.mhc.org,Medicare,Medium,False,Yes,,FL,FC-00439,Prof. Adams,14418459.088429585
440,Georgia,Telehealth Provider,Non-Profit,1982,233.0,2009,Schizophrenia,Inpatient,1.24,97.57,support@health.com,555 123 4567,33101,Y,,,Medicaid,Low,No,24/7,English,GE,FC-00440,Dr. Lee,4171693.3385628033
441,Pennsylvania,Psychiatric Hospital,Public,2009,378.0,6464,Bipolar Disorder,Emergency,4.66,362.33,support@health.com,555 123 4567,90210,No,YES,,None,High,No,,"English, Spanish",PE,FC-00441,Jane Smith,18462515.38146235
442,Texas,Community Health Center,Public,2004,393.0,2681,OCD,Counseling,3.46,283.62,info@mhc.org,555 123 4567,33101,No,Yes,https://clinic.com,,Medium,No,24/7,Hindi,TE,FC-00442,John Doe,5935908.286714023
443,California,Telehealth Provider,Public,1959,71.0,791,OCD,Inpatient,1.77,184.13,info@mhc.org,987-654-3210,10001,Y,YES,mhc.net,Medicaid,Low,No,Yes,"English, Spanish",CA,FC-00443,Dr. Lee,1207221.3643126427
444,Florida,Telehealth Provider,Non-Profit,1996,303.0,1031,PTSD,Inpatient,3.43,240.14,info@mhc.org,987-654-3210,90210,,YES,https://clinic.com,None,Medium,No,,"English, Spanish",FL,FC-00444,Dr. Lee,5056873.454396834
445,Georgia,Private Clinic,Non-Profit,1972,248.0,8010,OCD,Telehealth,3.71,184.25,support@health.com,(123) 456-7890,33101,N,YES,https://clinic.com,None,High,,,Spanish,GE,FC-00445,,8293179.054103427
446,Texas,Community Health Center,Private,1970,204.0,6482,Bipolar Disorder,Inpatient,3.1,168.36,,987-654-3210,10001,N,YES,www.mhc.org,Medicaid,Medium,Yes,,English,TE,FC-00446,Jane Smith,9527135.225828549
447,New York,Private Clinic,Non-Profit,1962,175.0,3506,Schizophrenia,Emergency,3.87,123.62,support@health.com,555 123 4567,90210,Y,no,,Medicaid,High,False,N/A,English,NE,FC-00447,John Doe,3535779.7101650685
448,California,Community Health Center,Non-Profit,1982,460.0,8439,OCD,Emergency,3.33,213.25,support@health.com,987-654-3210,90210,N,no,www.mhc.org,Medicaid,Medium,No,Yes,"English, Spanish",CA,FC-00448,Prof. Adams,14775878.103637531
449,California,Private Clinic,Public,1973,231.0,1132,PTSD,Counseling,4.79,162.94,info@mhc.org,987-654-3210,10001,,Yes,mhc.net,Private,High,,No,Hindi,CA,FC-00449,Dr. Lee,3934137.9928385373
450,New York,Telehealth Provider,Private,1960,70.0,1411,Bipolar Disorder,Counseling,1.21,357.55,support@health.com,,90210,,no,https://clinic.com,,Low,,24/7,Mandarin,NE,FC-00450,Prof. Adams,2467183.309381836
451,Illinois,Telehealth Provider,Non-Profit,1966,138.0,8679,Anxiety,Inpatient,1.42,357.74,info@mhc.org,(123) 456-7890,10001,Yes,Yes,mhc.net,Medicare,Low,,N/A,"English, Spanish",IL,FC-00451,Prof. Adams,2060319.775710905
452,New York,Psychiatric Hospital,Non-Profit,2017,487.0,3221,Depression,Outpatient,1.69,275.83,support@health.com,(123) 456-7890,60601,No,,,None,Low,Yes,24/7,Spanish,NE,FC-00452,Prof. Adams,14440733.751147354
453,California,Private Clinic,Public,1996,182.0,1973,Depression,Telehealth,3.76,400.08,contact@clinic.net,(123) 456-7890,60601,N,No,,Medicare,High,No,No,"English, Spanish",CA,FC-00453,,6589723.603567595
454,California,Rehabilitation Center,Public,1974,489.0,9207,Anxiety,Outpatient,,428.6,,987-654-3210,90210,,yes,http://healthcare.gov,Medicaid,,,,Hindi,CA,FC-00454,Prof. Adams,16217742.051737778
455,Georgia,Psychiatric Hospital,Non-Profit,1970,165.0,6881,OCD,Inpatient,4.57,310.89,,555 123 4567,90210,No,no,mhc.net,,High,,No,Hindi,GE,FC-00455,Jane Smith,2574003.1858249004
456,Michigan,Private Clinic,Private,1961,414.0,3848,Depression,Inpatient,3.93,328.52,info@mhc.org,,10001,No,no,www.mhc.org,,High,No,24/7,"English, Spanish",MI,FC-00456,Jane Smith,6812343.032285574
457,Texas,Private Clinic,Private,1986,387.0,377,Depression,Outpatient,3.03,177.3,contact@clinic.net,(123) 456-7890,90210,Yes,,mhc.net,Private,Medium,Yes,No,English,TE,FC-00457,John Doe,14263132.75469082
458,New York,Psychiatric Hospital,Public,1991,119.0,1959,Anxiety,Telehealth,4.97,452.69,,987-654-3210,,No,no,https://clinic.com,Medicaid,High,,Yes,"English, Spanish",NE,FC-00458,John Doe,5040408.249387334
459,Texas,Telehealth Provider,Public,1966,278.0,6029,OCD,Outpatient,2.06,60.89,info@mhc.org,555 123 4567,60601,No,Yes,,None,Medium,False,No,,TE,FC-00459,Prof. Adams,12877787.356129052
460,New York,Private Clinic,Non-Profit,1997,420.0,6892,OCD,Counseling,4.33,206.87,support@health.com,,90210,Y,Yes,,Private,High,True,Yes,,NE,FC-00460,Prof. Adams,17868673.457814764
461,Pennsylvania,Telehealth Provider,Public,1977,365.0,4813,Anxiety,Emergency,2.71,374.81,support@health.com,,90210,Yes,No,mhc.net,Medicaid,Medium,True,No,Mandarin,PE,FC-00461,,17869288.631753042
462,California,Psychiatric Hospital,Non-Profit,1990,400.0,4775,OCD,Counseling,3.59,86.04,contact@clinic.net,(123) 456-7890,33101,Yes,No,mhc.net,Private,High,True,Yes,Spanish,CA,FC-00462,Prof. Adams,10532028.866642166
463,Michigan,Telehealth Provider,Private,1996,287.0,1270,OCD,Emergency,3.91,132.43,,(123) 456-7890,90210,N,No,mhc.net,Medicare,High,Yes,Yes,Spanish,MI,FC-00463,Prof. Adams,6671782.858468954
464,Georgia,Community Health Center,Private,1967,83.0,8781,Bipolar Disorder,Inpatient,3.54,315.18,support@health.com,555 123 4567,,No,Yes,https://clinic.com,Medicaid,High,,No,English,GE,FC-00464,Prof. Adams,923571.053785788
465,Michigan,Rehabilitation Center,Non-Profit,2020,496.0,9474,Bipolar Disorder,Telehealth,1.56,302.0,info@mhc.org,987-654-3210,60601,N,YES,https://clinic.com,None,Low,True,N/A,Spanish,MI,FC-00465,Dr. Lee,13885933.782803774
466,Michigan,Private Clinic,Public,1962,446.0,5408,Anxiety,Outpatient,2.77,382.52,support@health.com,555 123 4567,33101,,YES,www.mhc.org,None,Medium,True,,Mandarin,MI,FC-00466,Dr. Lee,16080468.495052068
467,Michigan,Rehabilitation Center,Private,1962,472.0,2562,Schizophrenia,Telehealth,3.25,415.68,support@health.com,(123) 456-7890,10001,No,No,mhc.net,Medicaid,Medium,No,,,MI,FC-00467,,20114915.148168337
468,Texas,Telehealth Provider,Public,1980,216.0,9922,Depression,Outpatient,4.4,107.86,,555 123 4567,10001,,No,www.mhc.org,Private,High,,,English,TE,FC-00468,,4470814.507170559
469,New York,Private Clinic,Private,1951,397.0,387,Bipolar Disorder,Counseling,2.77,58.27,,987-654-3210,60601,Y,Yes,http://healthcare.gov,,Medium,,Yes,Hindi,NE,FC-00469,Jane Smith,12125829.468744334
470,North Carolina,Telehealth Provider,Non-Profit,1965,489.0,6053,Depression,Counseling,4.67,360.34,info@mhc.org,,10001,No,,https://clinic.com,Medicaid,High,No,,,NO,FC-00470,,17838907.083850753
471,Pennsylvania,Community Health Center,Non-Profit,1958,288.0,4382,PTSD,Outpatient,2.76,185.63,contact@clinic.net,,,N,no,,None,Medium,,Yes,Mandarin,PE,FC-00471,Jane Smith,9234465.016136762
472,Florida,Psychiatric Hospital,Non-Profit,1987,384.0,2007,Anxiety,Telehealth,3.2,331.69,contact@clinic.net,,90210,N,yes,http://healthcare.gov,Medicare,Medium,False,N/A,English,FL,FC-00472,Prof. Adams,8048958.219300983
473,Michigan,Private Clinic,Private,2003,335.0,1261,Schizophrenia,Outpatient,4.19,117.75,support@health.com,,60601,No,YES,,None,High,Yes,No,"English, Spanish",MI,FC-00473,,14020184.673153834
474,Illinois,Community Health Center,Public,2005,481.0,229,PTSD,Inpatient,3.33,261.07,info@mhc.org,(123) 456-7890,33101,N,YES,http://healthcare.gov,,Medium,No,No,Spanish,IL,FC-00474,,8145465.879960003
475,Texas,Community Health Center,Public,1994,349.0,6437,PTSD,Counseling,4.84,276.99,contact@clinic.net,(123) 456-7890,90210,No,Yes,www.mhc.org,None,High,True,Yes,Mandarin,TE,FC-00475,,16123518.47965764
476,Georgia,Private Clinic,Public,1983,366.0,2463,OCD,Inpatient,3.64,313.29,contact@clinic.net,987-654-3210,10001,Yes,Yes,www.mhc.org,,High,,Yes,English,GE,FC-00476,Jane Smith,17606016.406162437
477,Florida,Telehealth Provider,Private,1958,349.0,8251,PTSD,Counseling,3.09,280.93,support@health.com,987-654-3210,10001,N,yes,https://clinic.com,Medicaid,Medium,False,N/A,,FL,FC-00477,Jane Smith,8593402.738570658
478,North Carolina,Community Health Center,Private,1957,213.0,6083,Anxiety,Counseling,1.09,273.06,info@mhc.org,987-654-3210,33101,No,yes,,None,Low,False,,English,NO,FC-00478,John Doe,5335068.854940309
479,Illinois,Rehabilitation Center,Private,1956,170.0,243,Bipolar Disorder,Emergency,2.65,199.73,contact@clinic.net,987-654-3210,,No,No,http://healthcare.gov,Private,Medium,Yes,N/A,"English, Spanish",IL,FC-00479,Jane Smith,6754292.16063692
480,North Carolina,Community Health Center,Private,1985,37.0,8307,Anxiety,Inpatient,2.2,82.03,,555 123 4567,33101,N,yes,mhc.net,Private,Medium,False,No,Mandarin,NO,FC-00480,Jane Smith,1045307.1258569609
481,Florida,Telehealth Provider,Private,1967,401.0,7569,Bipolar Disorder,Inpatient,3.99,90.28,,987-654-3210,60601,Yes,no,mhc.net,None,High,,No,English,FL,FC-00481,Dr. Lee,4468906.703331732
482,Michigan,Telehealth Provider,Public,1952,266.0,344,PTSD,Emergency,1.83,245.2,support@health.com,,33101,N,no,https://clinic.com,None,Low,,,Hindi,MI,FC-00482,,12447488.382464563
483,Illinois,Rehabilitation Center,Private,1977,174.0,1026,PTSD,Telehealth,1.82,210.11,support@health.com,,10001,No,YES,,Medicare,Low,False,No,Mandarin,IL,FC-00483,Jane Smith,4738022.3800817095
484,North Carolina,Community Health Center,Private,2019,72.0,3278,Schizophrenia,Inpatient,1.76,282.26,support@health.com,,,Yes,no,mhc.net,None,Low,,Yes,Mandarin,NO,FC-00484,,1306065.8895560964
485,Georgia,Telehealth Provider,Public,1993,31.0,2276,Bipolar Disorder,Outpatient,1.5,187.18,support@health.com,555 123 4567,,,no,https://clinic.com,Medicare,Low,,No,,GE,FC-00485,,999023.4507044947
486,New York,Private Clinic,Private,1970,79.0,5102,PTSD,Emergency,2.24,359.56,contact@clinic.net,987-654-3210,33101,Y,no,https://clinic.com,Medicare,Medium,True,24/7,Spanish,NE,FC-00486,Dr. Lee,1481743.4737885604
487,California,Psychiatric Hospital,Public,1977,390.0,986,OCD,Inpatient,4.54,438.78,info@mhc.org,,60601,N,No,,Medicare,High,No,,Hindi,CA,FC-00487,,7113943.195033083
488,New York,Psychiatric Hospital,Public,2003,414.0,8632,Depression,Telehealth,4.1,184.49,support@health.com,,10001,No,YES,mhc.net,Medicare,High,,,"English, Spanish",NE,FC-00488,Jane Smith,13177310.781588877
489,Florida,Psychiatric Hospital,Non-Profit,2003,105.0,3498,Schizophrenia,Inpatient,3.94,136.84,support@health.com,,90210,Yes,Yes,mhc.net,Medicaid,High,,,English,FL,FC-00489,,2692377.6271957704
490,Texas,Community Health Center,Non-Profit,2014,172.0,8597,Anxiety,Counseling,4.19,102.28,contact@clinic.net,,,Yes,YES,mhc.net,Private,High,Yes,24/7,Spanish,TE,FC-00490,John Doe,5662193.75438217
491,California,Rehabilitation Center,Non-Profit,1970,88.0,9199,Schizophrenia,Outpatient,2.08,327.31,support@health.com,(123) 456-7890,33101,,YES,www.mhc.org,Medicare,Medium,No,N/A,,CA,FC-00491,John Doe,4388825.537575566
492,Pennsylvania,Telehealth Provider,Non-Profit,1962,14.0,2754,Depression,Emergency,4.55,249.74,support@health.com,987-654-3210,60601,N,YES,mhc.net,Private,High,No,Yes,Spanish,PE,FC-00492,Dr. Lee,621050.1664476303
493,Georgia,Private Clinic,Private,2006,325.0,7492,Bipolar Disorder,Counseling,1.55,134.61,info@mhc.org,987-654-3210,60601,Yes,yes,http://healthcare.gov,Medicare,Low,No,,Mandarin,GE,FC-00493,Jane Smith,3349720.3907672535
494,Pennsylvania,Private Clinic,Non-Profit,1998,129.0,1471,Anxiety,Telehealth,2.35,343.91,,555 123 4567,10001,,Yes,www.mhc.org,Private,Medium,False,No,Mandarin,PE,FC-00494,Dr. Lee,1550867.4612129312
495,Illinois,Community Health Center,Public,2003,311.0,7235,Anxiety,Counseling,3.35,116.82,support@health.com,(123) 456-7890,,No,yes,www.mhc.org,None,Medium,True,Yes,"English, Spanish",IL,FC-00495,John Doe,10699388.235232685
496,California,Psychiatric Hospital,Private,1959,187.0,420,Bipolar Disorder,Counseling,1.41,299.44,contact@clinic.net,555 123 4567,10001,,No,www.mhc.org,None,Low,True,No,Hindi,CA,FC-00496,Jane Smith,6554395.4868695885
497,Pennsylvania,Community Health Center,Non-Profit,2002,185.0,4754,Schizophrenia,Telehealth,3.92,287.22,info@mhc.org,,90210,N,No,www.mhc.org,Private,High,Yes,Yes,English,PE,FC-00497,,8348612.24616235
498,Pennsylvania,Rehabilitation Center,Public,1993,399.0,5400,PTSD,Counseling,2.55,380.4,contact@clinic.net,555 123 4567,90210,,,https://clinic.com,Medicare,Medium,No,Yes,English,PE,FC-00498,Jane Smith,14029752.505368339
499,North Carolina,Rehabilitation Center,Private,1996,226.0,6861,Schizophrenia,Emergency,4.14,74.8,info@mhc.org,,90210,Yes,,http://healthcare.gov,Medicaid,High,No,No,,NO,FC-00499,Prof. Adams,4318539.4281823095
500,New York,Telehealth Provider,Private,2002,65.0,6954,Depression,Inpatient,2.97,449.54,info@mhc.org,,60601,Yes,No,,Private,Medium,,No,"English, Spanish",NE,FC-00500,Jane Smith,1868142.1920294922
501,North Carolina,Telehealth Provider,Non-Profit,1995,375.0,5605,OCD,Counseling,1.72,366.35,support@health.com,987-654-3210,,Y,No,mhc.net,,Low,False,Yes,English,NO,FC-00501,,15884781.010067828
502,California,Rehabilitation Center,Private,1962,196.0,9423,PTSD,Emergency,3.94,147.26,support@health.com,987-654-3210,10001,,yes,www.mhc.org,Medicaid,High,False,,Hindi,CA,FC-00502,Prof. Adams,9194947.722451232
503,California,Rehabilitation Center,Public,1986,241.0,6653,Schizophrenia,Inpatient,2.01,132.53,support@health.com,987-654-3210,10001,No,No,,,Medium,Yes,No,Mandarin,CA,FC-00503,Dr. Lee,4693861.746839075
504,Florida,Rehabilitation Center,Private,1973,264.0,4142,OCD,Inpatient,2.96,244.25,,987-654-3210,90210,N,Yes,https://clinic.com,Private,Medium,True,24/7,"English, Spanish",FL,FC-00504,Jane Smith,8338226.00174072
505,North Carolina,Community Health Center,Public,1951,422.0,9109,OCD,Counseling,1.3,417.9,,987-654-3210,,Y,yes,,Medicare,Low,No,24/7,Spanish,NO,FC-00505,Dr. Lee,6902697.046876398
506,Ohio,Rehabilitation Center,Private,1963,464.0,7598,Bipolar Disorder,Emergency,3.47,429.33,contact@clinic.net,(123) 456-7890,,,No,www.mhc.org,,Medium,Yes,Yes,"English, Spanish",OH,FC-00506,Jane Smith,13864314.412095685
507,New York,Private Clinic,Non-Profit,1959,113.0,6736,Depression,Counseling,3.66,284.21,support@health.com,987-654-3210,33101,No,yes,http://healthcare.gov,Private,High,False,N/A,"English, Spanish",NE,FC-00507,John Doe,1537315.825787745
508,California,Psychiatric Hospital,Public,1984,86.0,7462,Depression,Telehealth,2.51,437.36,,555 123 4567,,Y,yes,,Medicaid,Medium,False,Yes,Hindi,CA,FC-00508,John Doe,4099544.560629631
509,Florida,Rehabilitation Center,Private,1974,239.0,111,Depression,Inpatient,4.82,52.45,support@health.com,,,Yes,no,www.mhc.org,Medicare,High,False,Yes,Hindi,FL,FC-00509,,8489819.741181804
510,North Carolina,Psychiatric Hospital,Private,1952,411.0,294,PTSD,Counseling,4.5,65.83,,987-654-3210,10001,N,,www.mhc.org,,High,No,,English,NO,FC-00510,John Doe,18153323.23377285
511,New York,Community Health Center,Private,1966,,2637,Anxiety,Inpatient,3.83,460.32,,(123) 456-7890,,,yes,mhc.net,Private,High,No,,,NE,FC-00511,Prof. Adams,
512,North Carolina,Psychiatric Hospital,Public,1961,273.0,2942,PTSD,Emergency,3.85,398.9,info@mhc.org,555 123 4567,,No,YES,mhc.net,Medicare,High,No,N/A,,NO,FC-00512,Prof. Adams,4724712.66218273
513,Pennsylvania,Community Health Center,Public,2003,340.0,2329,Schizophrenia,Outpatient,2.01,252.82,support@health.com,555 123 4567,10001,Yes,yes,http://healthcare.gov,Medicare,Medium,,N/A,Hindi,PE,FC-00513,Jane Smith,12840350.443451222
514,Florida,Private Clinic,Public,1973,490.0,3109,OCD,Counseling,3.63,389.12,support@health.com,,,Y,YES,mhc.net,None,High,True,N/A,English,FL,FC-00514,Dr. Lee,22284931.352734417
515,New York,Community Health Center,Non-Profit,1978,191.0,8084,OCD,Counseling,1.79,480.04,,555 123 4567,10001,N,no,http://healthcare.gov,Medicare,Low,False,N/A,English,NE,FC-00515,Prof. Adams,6310167.599026076
516,Michigan,Community Health Center,Non-Profit,1992,390.0,2177,Anxiety,Inpatient,1.58,397.44,support@health.com,555 123 4567,33101,Y,No,https://clinic.com,Private,Low,False,N/A,English,MI,FC-00516,Jane Smith,13879263.502518354
517,Illinois,Telehealth Provider,Public,1974,265.0,7945,Schizophrenia,Emergency,5.0,429.07,,555 123 4567,60601,Y,yes,https://clinic.com,Medicaid,High,,Yes,Hindi,IL,FC-00517,Dr. Lee,6971313.548881656
518,Illinois,Rehabilitation Center,Private,2009,47.0,3967,Anxiety,Telehealth,3.49,392.27,support@health.com,555 123 4567,10001,No,no,mhc.net,None,Medium,False,Yes,,IL,FC-00518,John Doe,1738550.3673870463
519,New York,Rehabilitation Center,Non-Profit,2014,185.0,4973,OCD,Emergency,2.72,125.69,info@mhc.org,(123) 456-7890,10001,Yes,Yes,https://clinic.com,Private,Medium,False,24/7,English,NE,FC-00519,Jane Smith,4777276.5687513165
520,North Carolina,Private Clinic,Public,1977,36.0,8735,PTSD,Counseling,2.15,425.11,support@health.com,,,,no,,Private,Medium,No,24/7,Hindi,NO,FC-00520,Dr. Lee,1046332.2789380857
521,Florida,Private Clinic,Private,1965,,397,Depression,Telehealth,3.42,137.8,info@mhc.org,987-654-3210,10001,No,,,Private,Medium,No,No,Spanish,FL,FC-00521,,
522,Illinois,Rehabilitation Center,Non-Profit,1996,149.0,5956,OCD,Emergency,1.2,451.68,contact@clinic.net,555 123 4567,90210,N,,,,Low,True,Yes,Spanish,IL,FC-00522,,1536538.0650750748
523,Florida,Telehealth Provider,Private,2007,308.0,9136,Bipolar Disorder,Outpatient,1.38,256.39,support@health.com,(123) 456-7890,90210,Y,No,https://clinic.com,,Low,False,N/A,Mandarin,FL,FC-00523,Prof. Adams,3759461.849391825
524,Illinois,Rehabilitation Center,Private,1976,454.0,1115,Depression,Inpatient,1.13,354.64,support@health.com,,33101,N,YES,,Medicaid,Low,Yes,No,Spanish,IL,FC-00524,Dr. Lee,8036192.999426846
525,Pennsylvania,Telehealth Provider,Private,2002,296.0,1484,OCD,Emergency,3.0,273.76,support@health.com,987-654-3210,10001,No,No,http://healthcare.gov,Private,Medium,False,,"English, Spanish",PE,FC-00525,,8366189.224005574
526,North Carolina,Private Clinic,Private,1991,100.0,9689,PTSD,Emergency,3.4,92.3,info@mhc.org,,,No,YES,www.mhc.org,,Medium,False,Yes,Mandarin,NO,FC-00526,Prof. Adams,1083976.2834058155
527,Pennsylvania,Psychiatric Hospital,Non-Profit,2008,489.0,8845,Anxiety,Outpatient,1.25,180.83,support@health.com,(123) 456-7890,,,YES,mhc.net,,Low,True,24/7,Spanish,PE,FC-00527,Jane Smith,7940120.661856787
528,Illinois,Private Clinic,Non-Profit,1996,70.0,2450,Depression,Counseling,3.88,492.68,support@health.com,(123) 456-7890,60601,Y,YES,http://healthcare.gov,,High,Yes,Yes,"English, Spanish",IL,FC-00528,Jane Smith,2888044.890876428
529,Michigan,Private Clinic,Non-Profit,1983,467.0,1369,PTSD,Inpatient,1.92,482.32,,(123) 456-7890,33101,No,YES,,Medicaid,Low,False,Yes,Spanish,MI,FC-00529,Dr. Lee,18907271.308335036
530,Michigan,Community Health Center,Public,1986,460.0,1360,Schizophrenia,Emergency,3.74,194.22,contact@clinic.net,555 123 4567,,N,,www.mhc.org,Medicaid,High,Yes,Yes,Hindi,MI,FC-00530,Dr. Lee,19131037.366829198
531,Pennsylvania,Community Health Center,Non-Profit,1955,374.0,7801,Bipolar Disorder,Telehealth,4.93,498.33,info@mhc.org,(123) 456-7890,60601,,,mhc.net,Private,High,No,Yes,"English, Spanish",PE,FC-00531,Dr. Lee,17526252.51022374
532,Michigan,Community Health Center,Private,1956,,8476,Depression,Emergency,3.76,430.5,,987-654-3210,,N,yes,http://healthcare.gov,None,High,No,,English,MI,FC-00532,Dr. Lee,
533,Illinois,Community Health Center,Non-Profit,1974,172.0,4663,Anxiety,Inpatient,4.53,324.93,info@mhc.org,555 123 4567,60601,Y,,mhc.net,Private,High,Yes,24/7,Hindi,IL,FC-00533,,2842402.348447835
534,New York,Telehealth Provider,Private,1982,360.0,6997,Schizophrenia,Emergency,4.79,68.06,,,90210,,No,https://clinic.com,,High,False,Yes,"English, Spanish",NE,FC-00534,,8403172.050258927
535,Pennsylvania,Rehabilitation Center,Public,2004,152.0,5772,PTSD,Outpatient,2.95,455.65,contact@clinic.net,987-654-3210,90210,,,,,Medium,Yes,,Hindi,PE,FC-00535,Prof. Adams,7084058.48980393
536,Texas,Psychiatric Hospital,Private,2007,409.0,5693,Bipolar Disorder,Emergency,3.81,300.84,,555 123 4567,,,No,http://healthcare.gov,Medicare,High,Yes,No,English,TE,FC-00536,,16776815.87557726
537,North Carolina,Private Clinic,Private,1956,262.0,6255,Anxiety,Emergency,4.41,440.81,info@mhc.org,(123) 456-7890,33101,Yes,Yes,http://healthcare.gov,Private,High,No,Yes,"English, Spanish",NO,FC-00537,Jane Smith,6016790.93404271
